Geo_FIPS,Geo_GEOID,Geo_NAME,housingunits,occupied,vacant,vacant_rental,vacant_sale,vacant_other,med_rent,med_rir,vacrate
11980,31000US11980,"Athens, TX Micro Area",39777,29820,9957,507,830,8620,739,32.0999984741211,0.25032053699374
12020,31000US12020,"Athens-Clarke County, GA Metro Area",82159,68975,13184,4722,1429,7033,791,35.9000015258789,0.160469333852652
12060,31000US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2189138,1936823,252315,77390,40092,134833,970,31.6000003814697,0.115257695037956
12100,31000US12100,"Atlantic City-Hammonton, NJ Metro Area",127104,101166,25938,2740,1810,21388,1043,35.4000015258789,0.204069108761329
12140,31000US12140,"Auburn, IN Micro Area",17574,16235,1339,391,255,693,648,26.1000003814697,0.076192101968818
12180,31000US12180,"Auburn, NY Micro Area",36441,30907,5534,424,424,4686,666,28.2000007629395,0.151861913778436
12220,31000US12220,"Auburn-Opelika, AL Metro Area",64258,56637,7621,1467,1234,4920,777,36.5,0.118600018674718
12260,31000US12260,"Augusta-Richmond County, GA-SC Metro Area",245526,208736,36790,6931,4604,25255,767,31.3999996185303,0.149841564640812
12300,31000US12300,"Augusta-Waterville, ME Micro Area",61220,51242,9978,875,871,8232,704,30.7999992370605,0.162985952303169
12380,31000US12380,"Austin, MN Micro Area",16999,15511,1488,203,343,942,711,31.6000003814697,0.087534560856521
12420,31000US12420,"Austin-Round Rock, TX Metro Area",731966,673901,58065,16286,6935,34844,1014,30.7000007629395,0.079327455100374
12460,31000US12460,"Bainbridge, GA Micro Area",12135,10473,1662,284,126,1252,630,34,0.136959208899876
12540,31000US12540,"Bakersfield, CA Metro Area",287775,257737,30038,6622,3200,20216,887,33,0.104380158109634
12580,31000US12580,"Baltimore-Columbia-Towson, MD Metro Area",1140939,1032863,108076,24262,14015,69799,1141,30.8999996185303,0.094725484885695
12620,31000US12620,"Bangor, ME Metro Area",74116,62215,11901,1249,746,9906,730,33.0999984741211,0.160572615899401
12660,31000US12660,"Baraboo, WI Micro Area",29794,25400,4394,516,363,3515,737,29.3999996185303,0.147479358260052
12680,31000US12680,"Bardstown, KY Micro Area",18327,16660,1667,298,158,1211,673,33.2000007629395,0.090958694821848
12700,31000US12700,"Barnstable Town, MA Metro Area",160953,94371,66582,1917,1764,62901,1101,33.7999992370605,0.413673556876852
12740,31000US12740,"Barre, VT Micro Area",30056,24704,5352,180,209,4963,853,30.1000003814697,0.178067607133351
12780,31000US12780,"Bartlesville, OK Micro Area",23544,21109,2435,261,412,1762,669,27.7000007629395,0.103423377505946
12820,31000US12820,"Bastrop, LA Micro Area",12463,10383,2080,300,105,1675,548,32,0.166894006258525
12860,31000US12860,"Batavia, NY Micro Area",25627,23967,1660,208,105,1347,722,29.5,0.064775432161392
12900,31000US12900,"Batesville, AR Micro Area",16205,14405,1800,262,219,1319,590,31.7999992370605,0.111076828139463
12940,31000US12940,"Baton Rouge, LA Metro Area",336104,299156,36948,8334,3915,24699,817,31.7999992370605,0.109930259681527
12980,31000US12980,"Battle Creek, MI Metro Area",60832,52842,7990,1730,1108,5152,685,30.1000003814697,0.131345344555497
13020,31000US13020,"Bay City, MI Metro Area",48100,43712,4388,633,805,2950,650,33.2999992370605,0.091226611226611
13060,31000US13060,"Bay City, TX Micro Area",18898,13143,5755,654,142,4959,662,27.6000003814697,0.30452957984972
13100,31000US13100,"Beatrice, NE Micro Area",10413,9119,1294,401,28,865,631,25,0.12426774224527
13140,31000US13140,"Beaumont-Port Arthur, TX Metro Area",172119,149713,22406,5525,1979,14902,749,30.1000003814697,0.130177377279673
13180,31000US13180,"Beaver Dam, WI Micro Area",37102,32979,4123,1235,715,2173,759,26.8999996185303,0.111126084847178
13220,31000US13220,"Beckley, WV Metro Area",57539,48730,8809,802,671,7336,621,26.7999992370605,0.153096160864805
13260,31000US13260,"Bedford, IN Micro Area",20992,18561,2431,516,354,1561,621,28,0.115806021341463
13300,31000US13300,"Beeville, TX Micro Area",10671,8933,1738,216,105,1417,781,27.2000007629395,0.162871333520757
13340,31000US13340,"Bellefontaine, OH Micro Area",23152,18471,4681,322,320,4039,707,28,0.202185556323428
13380,31000US13380,"Bellingham, WA Metro Area",91447,79837,11610,1428,735,9447,919,33.5999984741211,0.126958784869925
13420,31000US13420,"Bemidji, MN Micro Area",20635,16793,3842,435,76,3331,661,30.5,0.186188514659559
13460,31000US13460,"Bend-Redmond, OR Metro Area",80945,64917,16028,1903,1173,12952,931,33.4000015258789,0.198010995120143
13500,31000US13500,"Bennettsville, SC Micro Area",12017,9645,2372,479,155,1738,552,33.4000015258789,0.197387035033702
13540,31000US13540,"Bennington, VT Micro Area",20929,15477,5452,176,122,5154,872,32.2999992370605,0.260499784987338
13620,31000US13620,"Berlin, NH-VT Micro Area",26308,17147,9161,262,254,8645,676,29.2000007629395,0.348221073437738
13660,31000US13660,"Big Rapids, MI Micro Area",21085,15529,5556,293,398,4865,622,35.2999992370605,0.263504861275788
13700,31000US13700,"Big Spring, TX Micro Area",13709,11662,2047,179,111,1757,726,24.3999996185303,0.149317966299511
