year,capinc,net_corp_capinc,housing_capinc,self_capinc,net_for_capinc,net_govt_interest,labinc,priv_wages,pub_wages,self_labinc,net_for_labinc,gdp_def_2005,natincome,gdp
1947,49.8105823863636,23.5,6.5,14.5105823863636,1.1,4.2,152.402417613636,82.1,19.608,50.6944176136364,0,13.755,216.3,244.1
1948,61.1291261335532,30.2,7.3,18.0291261335532,1.4,4.2,165.929873866447,91.1,20.344,54.3858738664468,0.1,14.526,242.6,269.1
1949,58.0422326775021,28.1,8.1,16.2422326775021,1.3,4.3,162.760767322498,88.8,22.633,51.3277673224979,0,14.499,237.5,267.2
1950,69.4421434977579,35.1,9.3,19.0421434977579,1.5,4.5,176.225856502242,98.7,23.88,53.5458565022422,0.1,14.656,263.9,293.7
1951,77.9583631067961,39.9,10.3,21.1583631067961,2,4.6,206.056636893204,114.6,30.686,60.7706368932039,0,15.712,303.8,339.3
1952,76.5641696706029,37.9,11.9,19.8641696706029,2.2,4.7,222.425830329397,123,34.959,64.4668303293971,0,15.982,321.3,358.3
1953,77.6574997098085,38.3,13.7,18.9574997098085,2,4.7,236.186500290192,134,35.86,66.3265002901915,0,16.174,338.6,379.3
1954,78.5339693215339,37.3,15.3,18.8339693215339,2.2,4.9,235.394030678466,132.2,36.542,66.7520306784661,-0.1,16.322,338.7,380.4
1955,94.1583800623053,48,16.2,22.3583800623053,2.6,5,250.402619937695,144.6,38.548,67.3546199376947,-0.1,16.601,372,414.7
1956,93.8635387994144,46.7,17.2,21.4635387994144,3,5.5,271.967461200586,158.2,41.158,72.7094612005857,-0.1,17.17,394.9,437.4
1957,95.83114138093,46.4,18.8,21.33114138093,3.3,6,286.89685861907,166.5,43.953,76.5438586190701,-0.1,17.741,413.3,461.1
1958,91.7546213592233,42,20.5,20.6546213592233,2.9,5.7,292.083378640777,164,47.532,80.6513786407767,-0.1,18.139,415.6,467.2
1959,108.811340206186,52.5,22.8,23.5113402061856,3,7,310.913659793814,180.3,49.869,80.7446597938145,0,18.355,453.5,506.6
1960,110.846422084092,52.8426,24.7,22.3771220840916,3.2127,7.714,326.462177915908,191.805,53.534,81.2231779159084,-0.1,18.612,473.9205,526.4
1961,115.050283244015,54.6108,26.5,23.0566832440146,3.6188,7.264,337.108616755985,196.811,57.304,83.0936167559853,-0.1,18.821,490.6835,544.8
1962,128.709222536484,62.7308,28.7,25.2169225364836,4.1935,7.868,359.025377463516,212.242,61.565,85.3183774635164,-0.1,19.078,528.8745,585.7
1963,138.858649883659,68.7791,30.3,26.7418498836586,4.4767,8.561,376.927450116341,223.937,65.922,87.0684501163414,0,19.281,559.7268,617.8
1964,151.545356218933,76.6793,31.7,29.0462562189328,4.9198,9.2,403.185043781067,240.556,71.506,91.1230437810672,0,19.58,601.4183,663.6
1965,169.141202009751,88.6356,33.3,32.3206020097505,5.279,9.606,433.590397990249,261.378,76.902,95.3103979902495,0,19.936,652.1758,719.1
1966,180.381396860987,95.8756,35.1,33.9957968609868,5.07,10.34,479.839503139013,290.233,86.695,102.911503139013,0,20.502,710.135,787.7
1967,181.627307845283,95.46,36.7,33.2228078452826,5.3935,10.851,514.584492154717,310.338,96.24,108.006492154717,0,21.133,750.3955,832.4
1968,193.109024471212,102.416,37.8,34.4590244712117,6.085,12.349,567.025275528788,343.651,107.749,115.625275528788,0,22.031,821.1888,909.8
1969,196.185515567996,102.8536,40.1,33.9249155679955,6.115,13.192,625.150084432005,381.034,118.437,125.679084432004,0,23.119,888.4845,984.4
1970,187.981893769788,93.3428,42.2,31.2910937697878,6.293,14.855,669.798906230212,402.544,132.211,134.943906230212,0.1,24.338,929.5295,"1,038.3"
1971,210.995547984627,106.4423,46.3,35.2370479846266,7.4942,15.522,714.569952015373,427.883,144.939,141.647952015373,0.1,25.554,1005.6213,"1,126.8"
1972,235.900329056359,120.6493,50.4,39.5628290563593,8.5582,16.73,789.397970943641,475.265,158.286,155.846970943641,0,26.657,1110.3395,"1,237.9"
1973,260.978750982693,130.4303,53.4,44.8127509826925,12.6187,19.717,893.201749017308,536.64,172.185,184.376749017308,0,28.136,1246.0858,"1,382.3"
1974,264.553354074211,127.4913,57.4,42.8090540742109,15.62,21.233,977.484445925789,590.325,189.04,198.219445925789,-0.1,30.69,1341.4728,"1,499.4"
1975,304.052139271693,153.5371,62.4,51.2140392716927,13.004,23.897,1036.30696072831,618.258,211.822,206.226960728307,0,33.591,1444.0185,"1,637.7"
1976,345.010039557171,174.9611,66.7,56.509239557171,16.8467,29.993,1155.31076044283,699.11,230.401,225.799760442829,0,35.519,1609.7895,"1,824.6"
1977,398.46797888684,207.9678,73.8,63.8581788868398,20.392,32.45,1281.53612111316,788.568,250.932,242.13612111316,-0.1,37.783,1797.4318,"2,030.1"
1978,451.055102635775,236.8573,83.5,71.9640026357747,21.6808,37.053,1454.11209736423,905.9528,273.005,275.254297364225,-0.1,40.435,2027.8733,"2,293.8"
1979,483.934931094531,240.9438,95.4,73.4134310945308,32.0307,42.147,1637.80736890547,1027.386,297.486,313.035368905469,-0.1,43.798,2248.2843,"2,562.2"
1980,505.542917956215,237.6836,114.1,70.3323179562149,34.285,49.142,1791.11048204379,1126.5655,331.286,333.358982043785,-0.1,47.791,2432.9508,"2,788.1"
1981,611.84253614518,293.4943,135.5,83.2125361451802,33.1347,66.501,1965.91046385482,1246.8065,365.805,353.49896385482,-0.2,52.27,2729.8483,"3,126.8"
1982,641.766813038804,286.165,157,81.8738130388039,36.71,80.018,2068.2380869612,1300.7643,395.516,372.157786961196,-0.2,55.459,2851.4113,"3,253.2"
1983,738.790609149945,339.5253,174.5,95.984509149945,37.1848,91.596,2184.89989085006,1375.0238,421.254,388.722090850055,-0.1,57.652,3070.893,"3,534.6"
1984,880.41799942521,417.8771,190.9,122.17909942521,36.4898,112.972,2427.05540057479,1522.415,459.716,445.12440057479,-0.2,59.817,3461.2998,"3,930.9"
1985,926.04661157152,431.2138,216.7,126.48451157152,26.8463,124.802,2607.66348842848,1632.102,497.13,478.73148842848,-0.3,61.628,3696.244,"4,217.5"
1986,925.413496898905,419.5978,234.1,125.619696898905,19.412,126.684,2773.36030310109,1730.791,526.203,518.166303101095,-1.8,62.991,3871.448,"4,460.1"
1987,1019.94421060688,468.6463,248.3,138.794910606876,19.054,145.149,2957.82698939312,1852.2293,558.439,548.558689393124,-1.4,64.819,4150.0438,"4,736.4"
1988,1132.56028952892,522.6583,267.5,160.317989528919,24.262,157.822,3200.02841047108,1993.2013,596.341,611.386110471081,-0.9,67.046,4522.3003,"5,100.4"
1989,1209.6980003592,546.3453,285.7,171.565700359202,27.224,178.863,3393.3132996408,2100.6075,634.364,659.641799640798,-1.3,69.577,4800.513,"5,482.2"
1990,1256.64771677951,539.7068,312,172.026916779512,36.723,196.191,3599.52868322049,2213.1713,683.228,705.429383220489,-2.3,72.262,5059.5475,"5,800.5"
1991,1291.25357388041,537.8228,334.6,171.512273880412,32.6105,214.708,3706.08622611959,2262.533,724.729,721.524226119588,-2.7,74.824,5217.9048,"5,992.1"
1992,1352.74389944231,556.2346,360.4,181.27309944231,32.1402,222.696,3925.53220055769,2390.4558,759.043,779.03340055769,-3,76.598,5517.1018,"6,342.3"
1993,1435.49555489475,599.369,380.7,195.017754894753,34.4818,225.927,4100.02464510525,2504.6796,783.693,814.952045105247,-3.3,78.29,5784.7215,"6,667.3"
1994,1588.90808247189,691.6873,411.1,221.231782471887,28.176,236.713,4306.73851752811,2651.813,810.86,848.165517528113,-4.1,79.94,6181.2585,"7,085.2"
1995,1744.69199497023,763.327,444.9,240.639294970235,33.7557,262.07,4503.47960502977,2794.1828,832.529,880.867805029766,-4.1,81.606,6522.324,"7,414.7"
1996,1909.54461252106,865.8238,466.6,276.707812521059,35.77,264.643,4726.91038747894,2934.6821,858.436,937.892287478941,-4.1,83.159,6931.6875,"7,838.5"
