year,capinc,net_corp_capinc,housing_capinc,self_capinc,net_for_capinc,net_govt_interest,labinc,priv_wages,pub_wages,self_labinc,net_for_labinc,gdp_def_2005,natincome,gdp,ndp_household,ndp_noncorp,ndp_housing,ndp_household,ndp_corporate,ndp_govt
1963,138.858649883659,68.7791,30.3,26.7418498836586,4.4767,8.561,376.927450116341,223.937,65.922,87.0684501163414,0,19.281,559.7268,617.8,39.032,105.0783,30.3,113.8103,292.7161,65.922
1964,151.545356218933,76.6793,31.7,29.0462562189328,4.9198,9.2,403.185043781067,240.556,71.506,91.1230437810672,0,19.58,601.4183,663.6,41.305,110.5643,31.7,120.1693,317.2353,71.506
1965,169.141202009751,88.6356,33.3,32.3206020097505,5.279,9.606,433.590397990249,261.378,76.902,95.3103979902495,0,19.936,652.1758,719.1,44.061,116.87,33.3,127.631,350.0136,76.902
1966,180.381396860987,95.8756,35.1,33.9957968609868,5.07,10.34,479.839503139013,290.233,86.695,102.911503139013,0,20.502,710.135,787.7,47.502,124.5053,35.1,136.9073,386.1086,86.695
1967,181.627307845283,95.46,36.7,33.2228078452826,5.3935,10.851,514.584492154717,310.338,96.24,108.006492154717,0,21.133,750.3955,832.4,50.802,127.1273,36.7,141.2293,405.798,96.24
1968,193.109024471212,102.416,37.8,34.4590244712117,6.085,12.349,567.025275528788,343.651,107.749,115.625275528788,0,22.031,821.1888,909.8,54.189,133.6953,37.8,150.0843,446.067,107.749
1969,196.185515567996,102.8536,40.1,33.9249155679955,6.115,13.192,625.150084432005,381.034,118.437,125.679084432004,0,23.119,888.4845,984.4,59.405,140.299,40.1,159.604,483.8876,118.437
1970,187.981893769788,93.3428,42.2,31.2910937697878,6.293,14.855,669.798906230212,402.544,132.211,134.943906230212,0.1,24.338,929.5295,1038.3,63.847,144.588,42.2,166.235,495.8868,132.211
1971,210.995547984627,106.4423,46.3,35.2370479846266,7.4942,15.522,714.569952015373,427.883,144.939,141.647952015373,0.1,25.554,1005.6213,1126.8,70.53,152.655,46.3,176.885,534.3253,144.939
1972,235.900329056359,120.6493,50.4,39.5628290563593,8.5582,16.73,789.397970943641,475.265,158.286,155.846970943641,0,26.657,1110.3395,1237.9,76.753,169.0568,50.4,195.4098,595.9143,158.286
1973,260.978750982693,130.4303,53.4,44.8127509826925,12.6187,19.717,893.201749017308,536.64,172.185,184.376749017308,0,28.136,1246.0858,1382.3,83.329,199.2605,53.4,229.1895,667.0703,172.185
1974,264.553354074211,127.4913,57.4,42.8090540742109,15.62,21.233,977.484445925789,590.325,189.04,198.219445925789,-0.1,30.69,1341.4728,1499.4,91.035,207.3935,57.4,241.0285,717.8163,189.04
1975,304.052139271693,153.5371,62.4,51.2140392716927,13.004,23.897,1036.30696072831,618.258,211.822,206.226960728307,0,33.591,1444.0185,1637.7,99.896,219.945,62.4,257.441,771.7951,211.822
1976,345.010039557171,174.9611,66.7,56.509239557171,16.8467,29.993,1155.31076044283,699.11,230.401,225.799760442829,0,35.519,1609.7895,1824.6,108.084,240.925,66.7,282.309,874.0711,230.401
1977,398.46797888684,207.9678,73.8,63.8581788868398,20.392,32.45,1281.53612111316,788.568,250.932,242.13612111316,-0.1,37.783,1797.4318,2030.1,117.052,262.7423,73.8,305.9943,996.5358,250.932
1978,451.055102635775,236.8573,83.5,71.9640026357747,21.6808,37.053,1454.11209736423,905.9528,273.005,275.254297364225,-0.1,40.435,2027.8733,2293.8,132.935,297.7833,83.5,347.2183,1142.8101,273.005
1979,483.934931094531,240.9438,95.4,73.4134310945308,32.0307,42.147,1637.80736890547,1027.386,297.486,313.035368905469,-0.1,43.798,2248.2843,2562.2,150.634,331.2148,95.4,386.4488,1268.3298,297.486
1980,505.542917956215,237.6836,114.1,70.3323179562149,34.285,49.142,1791.11048204379,1126.5655,331.286,333.358982043785,-0.1,47.791,2432.9508,2788.1,174.858,342.9333,114.1,403.6913,1364.2491,331.286
1981,611.84253614518,293.4943,135.5,83.2125361451802,33.1347,66.501,1965.91046385482,1246.8065,365.805,353.49896385482,-0.2,52.27,2729.8483,3126.8,200.39,371.8215,135.5,436.7115,1540.3008,365.805
1982,641.766813038804,286.165,157,81.8738130388039,36.71,80.018,2068.2380869612,1300.7643,395.516,372.157786961196,-0.2,55.459,2851.4113,3253.2,225.259,385.7726,157,454.0316,1586.9293,395.516
1983,738.790609149945,339.5253,174.5,95.984509149945,37.1848,91.596,2184.89989085006,1375.0238,421.254,388.722090850055,-0.1,57.652,3070.893,3534.6,249.008,410.1986,174.5,484.7066,1714.5491,421.254
1984,880.41799942521,417.8771,190.9,122.17909942521,36.4898,112.972,2427.05540057479,1522.415,459.716,445.12440057479,-0.2,59.817,3461.2998,3930.9,274.565,483.6385,190.9,567.3035,1940.2921,459.716
1985,926.04661157152,431.2138,216.7,126.48451157152,26.8463,124.802,2607.66348842848,1632.102,497.13,478.73148842848,-0.3,61.628,3696.244,4217.5,298.284,523.632,216.7,605.216,2063.3158,497.13
1986,925.413496898905,419.5978,234.1,125.619696898905,19.412,126.684,2773.36030310109,1730.791,526.203,518.166303101095,-1.8,62.991,3871.448,4460.1,323.079,554.807,234.1,643.786,2150.3888,526.203
1987,1019.94421060688,468.6463,248.3,138.794910606876,19.054,145.149,2957.82698939312,1852.2293,558.439,548.558689393124,-1.4,64.819,4150.0438,4736.4,354.017,581.6366,248.3,687.3536,2320.8756,558.439
1988,1132.56028952892,522.6583,267.5,160.317989528919,24.262,157.822,3200.02841047108,1993.2013,596.341,611.386110471081,-0.9,67.046,4522.3003,5100.4,391.902,647.3021,267.5,771.7041,2515.8596,596.341
1989,1209.6980003592,546.3453,285.7,171.565700359202,27.224,178.863,3393.3132996408,2100.6075,634.364,659.641799640798,-1.3,69.577,4800.513,5482.2,425.933,690.9745,285.7,831.2075,2646.9528,634.364
1990,1256.64771677951,539.7068,312,172.026916779512,36.723,196.191,3599.52868322049,2213.1713,683.228,705.429383220489,-2.3,72.262,5059.5475,5800.5,466.43,723.0263,312,877.4563,2752.8781,683.228
1991,1291.25357388041,537.8228,334.6,171.512273880412,32.6105,214.708,3706.08622611959,2262.533,724.729,721.524226119588,-2.7,74.824,5217.9048,5992.1,499.267,728.3695,334.6,893.0365,2800.3558,724.729
1992,1352.74389944231,556.2346,360.4,181.27309944231,32.1402,222.696,3925.53220055769,2390.4558,759.043,779.03340055769,-3,76.598,5517.1018,6342.3,537.936,782.7705,360.4,960.3065,2946.6904,759.043
1993,1435.49555489475,599.369,380.7,195.017754894753,34.4818,225.927,4100.02464510525,2504.6796,783.693,814.952045105247,-3.3,78.29,5784.7215,6667.3,572.6508,818.019,380.7,1009.9698,3104.0486,783.693
1994,1588.90808247189,691.6873,411.1,221.231782471887,28.176,236.713,4306.73851752811,2651.813,810.86,848.165517528113,-4.1,79.94,6181.2585,7085.2,610.8643,869.633,411.1,1069.3973,3343.5003,810.86
1995,1744.69199497023,763.327,444.9,240.639294970235,33.7557,262.07,4503.47960502977,2794.1828,832.529,880.867805029766,-4.1,81.606,6522.324,7414.7,655.4148,910.9923,444.9,1121.5071,3557.5098,832.529
1996,1909.54461252106,865.8238,466.6,276.707812521059,35.77,264.643,4726.91038747894,2934.6821,858.436,937.892287478941,-4.1,83.159,6931.6875,7838.5,692.2571,988.943,466.6,1214.6001,3800.5059,858.436
1997,2061.22465018369,968.5923,492.2,305.564650183686,27.8497,267.018,5019.86224981631,3145.1071,886.959,992.196149816314,-4.4,84.628,7405.98,8332.4,734.5715,1055.3893,492.2,1297.7608,4113.6994,886.959
1998,2093.98970938894,973.4951,516.6,313.041609388936,21.917,268.936,5434.13329061106,3420.2158,918.697,1099.82049061106,-4.6,85.584,7875.5855,8793.5,785.4411,1144.021,516.6,1412.8621,4393.7109,918.697
1999,2160.7150553594,995.7765,555.2,325.1205553594,33.102,251.516,5806.2939446406,3653.9108,964.683,1193.0001446406,-5.3,86.842,8357.9668,9353.5,844.4116,1228.9091,555.2,1518.1207,4649.6873,964.683
2000,2189.71072836389,985.5268,590.1,328.395928363888,42.445,243.243,6320.56407163611,3979.1005,1020.253,1325.91057163611,-4.7,88.723,8938.8913,9951.5,903.619,1340.7875,590.1,1654.3065,4964.6273,1020.253
2001,2175.04221710946,921.2401,627.1,342.632117109455,57.109,226.961,6564.10668289055,4001.6795,1079.303,1488.32418289055,-5.2,90.727,9185.21,10286.2,961.7475,1496.3088,627.1,1830.9563,4922.9196,1079.303
2002,2209.22329220397,937.9935,640.1,363.757292203974,54.7095,212.663,6684.21110779603,3991.4783,1150.423,1547.90980779603,-5.6,92.196,9408.5253,10642.3,1008.4748,1543.2923,640.1,1911.6671,4929.4718,1150.423
2003,2300.73125250292,1001.3048,625.8,397.99695250292,74.3908,201.2387,6975.96894749708,4118.6685,1225.919,1637.08144749708,-5.7,94.135,9840.175,11142.1,1036.6908,1624.1876,625.8,2035.0784,5119.9733,1225.919
2004,2611.51383080755,1180.7813,647.1,479.987330807554,97.4092,206.236,7310.51856919245,4284.0985,1291.135,1741.48506919245,-6.2,96.786,10534.0535,11867.8,1085.1826,1783.3898,647.1,2221.4724,5464.8798,1291.135
2005,2968.14014058794,1395.699,681.1,557.005940587944,103.5482,230.787,7670.70095941206,4518.1243,1355.85,1803.12665941206,-6.4,100,11273.8268,12638.4,1140.0218,1901.2108,681.1,2360.1326,5913.8233,1355.85
2006,3263.45629803403,1585.5183,724.8,631.544798034032,79.0152000000001,242.578,8079.11210196597,4766.757,1420.257,1898.69810196597,-6.6,103.231,12031.2293,13398.9,1203.6871,2051.3558,724.8,2530.2429,6352.2753,1420.257
2007,3222.15176900176,1451.7703,780,589.989169001756,130.3713,270.021,8483.44923099824,4971.2368,1499.037,2020.27543099824,-7.1,106.227,12396.422,14061.8,1266.4866,2123.778,780,2610.2646,6423.0071,1499.037
2008,3040.82378166135,1210.2393,869.7,523.10118166135,185.2473,252.536,8793.86961833865,5044.4125,1579.813,2180.34411833865,-10.7,108.582,12557.8025,14369.1,1372.3773,2200.768,869.7,2703.4453,6254.6518,1579.813
2009,3148.45065179044,1347.8978,896.6,548.961151790437,155.258,199.7337,8325.20294820956,4761.6925,1633.206,1939.30444820956,-9,109.729,12225.053,14119,1398.1923,1986.6733,896.6,2488.2656,6109.5903,1633.206
2010,3661.62580027716,1685.9281,883.5,656.842900277156,197.451,237.9038,8411.68949972284,4862.5541,1663.869,1894.46639972284,-9.2,110.992,12821.6253,14660.4,1395.1153,2039.694,883.5,2551.3093,6548.4822,1663.869
